EXPOCODE,CRUISE_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,SAMPLE_ID,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,2,UMOL/KG,,UMOL/KG,,,DEG C,
33GG20130609,GU_1302,3,3,574,-999,300300,9062013,22:26,41.105,-70.6183,0,0,15.042,32.2633,-999,9,-999,9,-999,9,-999,9,-999,9,1989.8,2,2148.1,2,7.932,25,2
33GG20130609,GU_1302,3,3,571,6,300306,9062013,22:26,41.105,-70.6183,43,3,15.042,32.2633,272,2,2.5,2,0.1,2,0.2,2,0.2,2,1992.7,2,2129.1,2,7.888,25,2
33GG20130609,GU_1302,3,3,572,4,300304,9062013,22:26,41.105,-70.6183,43,21.4,12.4814,32.327,278,2,4.2,2,6,2,0.4,2,0.5,2,2004.1,2,2143,2,7.907,25,2
33GG20130609,GU_1302,3,3,573,2,300302,9062013,22:26,41.105,-70.6183,43,39.3,10.0036,32.5436,258,2,6.1,2,1.2,2,0.6,2,1.6,2,2053,2,2181.3,2,7.83,25,2
33GG20130609,GU_1302,6,6,575,8,600608,10062013,3:46,40.6683,-70.6133,62,2.5,15.1961,32.8131,274,2,2,2,0.1,2,0.2,2,0.1,2,1990.5,2,2171.5,2,7.981,25,2
33GG20130609,GU_1302,6,6,576,5,600605,10062013,3:46,40.6683,-70.6133,62,31,10.8419,32.9811,298,2,2.9,2,0.3,2,0.3,2,0.5,2,2027,2,2215.4,2,7.927,25,2
33GG20130609,GU_1302,6,6,577,2,600602,10062013,3:46,40.6683,-70.6133,62,56.3,9.7719,33.5445,254,2,8.1,2,3.7,2,0.7,2,1.4,2,2092.5,2,2236,2,7.83,25,2
33GG20130609,GU_1302,8,8,578,11,800811,10062013,11:02,39.8317,-70.6217,328,2.6,18.1054,34.7418,246,2,1.3,2,0.2,2,0.2,2,0.4,2,2040.4,2,2290.7,2,8.052,25,2
33GG20130609,GU_1302,8,8,579,4,800804,10062013,11:02,39.8317,-70.6217,328,148.3,13.4761,35.7263,217,2,4.2,2,10,2,0.6,2,0.2,2,2138.1,2,2340,2,7.906,25,2
